Club Name,Course Name,City,State,Course ID,Google Places ID,Latitude,Longitude,Access
Arizona Biltmore CC,Arizona Biltmore CC - Adobe,Phoenix,AZ,13271,ChIJ47o1_EENK4cRCeK-yfYA-V8,33.516543,-112.030116,Public
Arizona Biltmore CC,Arizona Biltmore CC - Links,Phoenix,AZ,13272,ChIJ47o1_EENK4cRCeK-yfYA-V8,33.516543,-112.030116,Public
Arizona City Golf Course,Arizona City Golf Course,Arizona City,AZ,13266,ChIJXW2rEwRdKocRMbF9prLLmc0,32.88602,-111.6999556,Public
Arizona Country Club,Arizona Country Club,Phoenix,AZ,13311,ChIJQ99OFgsMK4cRQberKV9Gp0c,33.485695,-111.956329,Private
Arizona Golf Resort,Arizona Golf Resort,Mesa,AZ,13231,ChIJ77oNQMKvK4cRo0q39sd7YyI,33.404388,-111.684273,Public
Arrowhead Country Club,Arrowhead Country Club,Glendale,AZ,13067,ChIJN59l7RJoK4cRk6Jq_GqequE,33.66344,-112.214163,Private
Aspen Valley Golf Club,Aspen Valley Golf Club,Flagstaff,AZ,13257,ChIJhRYSkpOOLYcRSB2QK_wucIY,35.198435,-111.590679,Private
Augusta Ranch Golf Club,Augusta Ranch Golf Club,Mesa,AZ,13172,ChIJGaCDFZexK4cR_4UdN06um0M,33.3719017,-111.6314643,Public
Bear Creek Golf Complex,Bear Creek Golf Complex - Bear Course,Chandler,AZ,13180,ChIJ96YNv0dVKocRghTvc9tSdy4,33.226366,-111.832714,Public
Bear Creek Golf Complex,Bear Creek Golf Complex - Cub Course,Chandler,AZ,13179,ChIJ96YNv0dVKocRghTvc9tSdy4,33.226366,-111.832714,Public
Bellair Golf Club,Bellair Golf Club,Glendale,AZ,13324,ChIJD16LWNloK4cRvPvnNTuiefc,33.641655,-112.160369,Public
Bison Golf Club,Bison Golf Club,Show Low,AZ,13152,ChIJ_Vz6YxUzL4cR2Qwsbm0YyYU,34.2484193,-110.0727081,Public
