Club Name,Course Name,City,State,Order,Full Name,Course ID,Google Places ID,Latitude,Longitude
King & Prince Golf Course,King & Prince Golf Course,St. Simons,GA,3887,"King & Prince Golf Course, St. Simons, GA",8940,ChIJtVsbKXzS5IgR9F1VOKGqWMs,#N/A,#N/A
Kingwood Golf Club & Resort,Kingwood Golf Club & Resort,Clayton,GA,3888,"Kingwood Golf Club & Resort, Clayton, GA",9235,ChIJLea1Us3EWIgRP3IIg9UKHKQ,34.8590027,-83.3660941
Kraftsmen's Club,Kraftsmen's Club,Coosa,GA,3889,"Kraftsmen's Club, Coosa, GA",9132,ChIJ1S1KRPCliogRT-JiW3QKqYc,34.256075,-85.183084
LaFayette Golf Course,LaFayette Golf Course,LaFayette,GA,3890,"LaFayette Golf Course, LaFayette, GA",9252,ChIJx9aPzE87YIgRZXhKzkHr_0g,34.695162,-85.277005
Lake Arrowhead Yacht & Country Club,Lake Arrowhead Yacht & Country Club,Waleska,GA,3891,"Lake Arrowhead Yacht & Country Club, Waleska, GA",9002,ChIJoRDToFBn9YgRbXq4o-WDkBo,34.303614,-84.617495
Lake Jonesco Golf Course,Lake Jonesco Golf Course,Gray,GA,3892,"Lake Jonesco Golf Course, Gray, GA",9064,ChIJq5ZPYPau9ogRdvccwW0PO0k,32.991607,-83.567362
Lake Spivey Golf Club,Lake Spivey Golf Club,Jonesboro,GA,3893,"Lake Spivey Golf Club, Jonesboro, GA",9020,ChIJwSAbc2D49IgRI-sX8yFrdsU,33.530616,-84.296195
Lakes at Laura S. Walker,Lakes at Laura S. Walker,Waycross,GA,3894,"Lakes at Laura S. Walker, Waycross, GA",9216,ChIJn_NEyZ9Y5YgRXHYosDN9fq0,#N/A,#N/A
Lakeview Golf Club,Lakeview Golf Club,Blackshear,GA,3895,"Lakeview Golf Club, Blackshear, GA",8994,ChIJEXvvfUX674gR5J1fHTgoKRc,31.285872,-82.228766
Landings Club,Landings Club - Deer Creek,Savannah,GA,3896,"Landings Club - Deer Creek, Savannah, GA",8946,ChIJR_MzIA5x-4gR8UvLKZUsCyM,#N/A,#N/A
Landings Club,Landings Club - Magnolia,Savannah,GA,3897,"Landings Club - Magnolia, Savannah, GA",8945,ChIJR_MzIA5x-4gR8UvLKZUsCyM,#N/A,#N/A
Landings Club,Landings Club - Marshwood,Savannah,GA,3898,"Landings Club - Marshwood, Savannah, GA",9091,ChIJR_MzIA5x-4gR8UvLKZUsCyM,#N/A,#N/A
Landings Club,Landings Club - Oakridge,Savannah,GA,3899,"Landings Club - Oakridge, Savannah, GA",9146,ChIJR_MzIA5x-4gR8UvLKZUsCyM,#N/A,#N/A
Landings Club,Landings Club - Palmetto,Savannah,GA,3900,"Landings Club - Palmetto, Savannah, GA",9147,ChIJR_MzIA5x-4gR8UvLKZUsCyM,#N/A,#N/A
Landings Club,Landings Club - Plantation,Savannah,GA,3901,"Landings Club - Plantation, Savannah, GA",9090,ChIJR_MzIA5x-4gR8UvLKZUsCyM,#N/A,#N/A
Lane Creek Golf Club,Lane Creek Golf Club,Bishop,GA,3902,"Lane Creek Golf Club, Bishop, GA",9095,ChIJM9oCVx939ogR88V6yQiUYIk,33.8449219,-83.5285468
Laurel Island Links,Laurel Island Links,Kingsland,GA,3903,"Laurel Island Links, Kingsland, GA",9230,ChIJa_8_PVAb5YgR36ze9zYo5rM,30.8145693,-81.6188352
Laurel Springs Golf Club,Laurel Springs Golf Club,Suwanee,GA,3904,"Laurel Springs Golf Club, Suwanee, GA",9171,ChIJyXRSUmOZ9YgRcsb9W1HpUco,34.099954,-84.153835
LaVida Country Club,LaVida Country Club,Savannah,GA,3905,"LaVida Country Club, Savannah, GA",9104,ChIJ6fVkT7p0-4gRNCBXvt6FaHU,#N/A,#N/A
