Place,Course ID,Place ID
"Chena Bend Golf Course, Fort Wainwright, AK",218,ChIJC_M9NpZPMlERKzPtshXZIEs
"Mount Fairweather Golf Course, Gustavus, AK",219,ChIJ6ffW132YAVQRIE3r4Hqf4WE
"Valley of the Eagles Golf Links, Haines, AK",220,ChIJyT-D9fqXqlYRSiSstEH-lzk
"Weeping Trout Sports Resort, Haines, AK",221,N/A
"Black Diamond Golf Course, Healy, AK",222,ChIJJ-neqcYlzVYRyyjeWzTcoh0
"Homer Golf Course, Homer, AK",223,ChIJhdSaFCbTxlYRRtd3dtC8OBU
"Kenai Golf Course, Kenai, AK",224,ChIJOak17VJ7xlYRWYg_mptF6dA
"Bear Valley Golf Course, Kodiak, AK",225,ChIJOQaTcUrD6lYRz7QGf0AesDA
"Cottonwood Country Club, Nikiski, AK",226,N/A
"Fishhook Golf Course, Palmer, AK",227,ChIJaV_WYnAeyVYRUPDpiaQN0mo
"Palmer Golf Course, Palmer, AK",228,ChIJJTYchIgdyVYRrsv-dBpNzS4
"Sea Mountain Golf Course, Sitka, AK",229,ChIJefZN0glmBFQR5jGLybJOVGQ
"Birch Ridge Golf Course, Soldotna, AK",230,ChIJ6UK2jjVhxlYRz-TL5nwqdSU
"Bird Homestead Golf Course, Soldotna, AK",231,ChIJvWJtLGJnxlYRxmhKNFe87yk
"Settlers Bay, Wasilla, AK",232,ChIJ_xqIXtPcyFYRLC8Itz_uZN0
"Sleepy Hollow Golf Course, Wasilla, AK",233,ChIJZdWtp38gyVYRXK3brTkwOwk
"Muskeg Meadows Golf Course, Wrangell, AK",234,ChIJx4RARjHKCFQRJJYp01uT-Qw
"Ajo Country Club, Ajo, AZ",235,ChIJhSqqii5a1YARbD389VL3cS4
"Alpine Country Club, Alpine, AZ",236,ChIJpQimVzhJJocRMwDEKoif3zQ
"Anthem Golf & Country Club - Ironwood Course, Anthem, AZ",237,ChIJT4cvhYBiK4cRHZq6VIVdiPc
"Anthem Golf & Country Club - Persimmon Course, Anthem, AZ",238,ChIJVzAx_oidLIcRZNI2w1azPwo
"Apache Creek Golf Club, Apache Junction, AZ",239,ChIJn9Nvn7C2K4cRJ7K6gRN0vQc
"Roadhaven Golf Course, Apache Junction, AZ",240,ChIJ4dTmZ-e2K4cRJrOptYWWO_Q
"Superstition Mountain Club - Lost Gold Course, Apache Junction, AZ",241,ChIJB_oNAPrJK4cRgGhLhDxbE8c
"Superstition Mountain Club - Prospector Course, Apache Junction, AZ",242,ChIJB_oNAPrJK4cRgGhLhDxbE8c
"Arizona City Club, Arizona City, AZ",243,ChIJ-_RcBfdvKocRbFU5EN6gosw
"Coldwater Golf Club, Avondale, AZ",244,ChIJrx8pgiY_K4cRVF_umK0HWp0
"Mesa View Golf Course, Bagdad, AZ",245,ChIJ6TTsZw7u0oARw9FNfuLBc2k
"Beaver Dam Lodge, Golf & RV Resort, Beaver Dam, AZ",246,ChIJaysMkh4yyoARHnGVAN23U_Y
"San Pedro Golf Course, Benson, AZ",247,ChIJxRJROPoC14YRelnJGNHakbo
"Turquoise Hills Family Golf Center, Benson, AZ",248,ChIJmX8eXdUC14YRAHDPu3GCqFk
"Copper Canyon Golf Club - Lake/Mountain Course, Buckeye, AZ",249,ChIJiz43vrGs1IAR4Cll8BNKpoo
"Copper Canyon Golf Club - Mountain/Vista Course, Buckeye, AZ",250,ChIJiz43vrGs1IAR4Cll8BNKpoo
"Copper Canyon Golf Club - Vista/Lake Course, Buckeye, AZ",251,ChIJiz43vrGs1IAR4Cll8BNKpoo
"Sundance Golf Club, Buckeye, AZ",252,ChIJm447VvY1K4cR2PcltbEvtO4
"Verrado Golf Club - Founders Course, Buckeye, AZ",253,ChIJ4W3tr31JK4cRTUtr0yBIK4s
"Verrado Golf Club - Victory Course, Buckeye, AZ",254,ChIJ4W3tr31JK4cRTUtr0yBIK4s
"Chaparral Country Club, Bullhead City, AZ",255,ChIJtxViiCZBzoAR4FWA9ur5DpE
"Laughlin Ranch Golf Club, Bullhead City, AZ",256,ChIJl9zJSKtDzoAR6NPVQs0FjUU
"Riverview RV Resort, Bullhead City, AZ",257,ChIJ08-8yXZBzoARjemUpkwl6hE
"Desert Forest Golf Club, Carefree, AZ",258,ChIJ14CT49Z-K4cR9fTVs2qDjeU
"North at Boulders Golf Club & Resort, Carefree, AZ",259,ChIJl2Zhujd5K4cREscz0rFF__s
"South at Boulders Golf Club & Resort, Carefree, AZ",260,ChIJl2Zhujd5K4cREscz0rFF__s
"Dave White Municipal Golf Course, Casa Grande, AZ",261,ChIJVy_UDBBeKocReLcigsSCv-g
"Francisco Grande Resort & Golf Club, Casa Grande, AZ",262,ChIJo-SAnI5gKocReFskSgIPCMc
"Mission Royale Golf Club, Casa Grande, AZ",263,ChIJlZwxgi1mKocRnZ_NQ8N7QUw
"Palm Creek Golf Club, Casa Grande, AZ",264,ChIJXW2rEwRdKocRMbF9prLLmc0
"Tierra Grande Country Club, Casa Grande, AZ",265,ChIJU6ofUldpKocRbiGZXkdEeAE
"Dove Valley Ranch Golf Club, Cave Creek, AZ",266,ChIJu3JVrZB7K4cRe0GgUp30k68
"Rancho Manana Golf Club, Cave Creek, AZ",267,ChIJafE2NiR8K4cRXhGMou0H0dg
"Tatum Ranch Golf Club, Cave Creek, AZ",268,ChIJV8-sGk16K4cRlTyi9YaMp0g
"Bear Creek Golf Complex - Bear Course, Chandler, AZ",269,ChIJ96YNv0dVKocRghTvc9tSdy4
